epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.1,714.4492000341415,9.954,175.90656125545502,10.0,10.0
1,0.1,700.8426530361176,9.822,175.86811780929565,10.0,10.0
2,0.1,693.0355632305145,10.124,175.89319241046906,10.0,10.0
3,0.1,691.0151660442352,9.678,175.85235631465912,10.0,10.0
4,0.1,689.2263256311417,9.88,175.92155039310455,10.0,10.0
5,0.1,688.3380877971649,9.934,175.934960603714,10.0,10.0
6,0.1,687.6933300495148,10.062,175.90990447998047,10.0,10.0
7,0.1,687.6986266374588,10.176,175.84347081184387,10.0,10.0
8,0.1,687.6866301298141,9.99,175.94466018676758,10.0,10.0
9,0.1,617.4504760503769,20.404,51998620.95691621,31.82,31.82
10,0.1,497.8677499294281,37.338,nan,38.3,38.3
11,0.1,458.66354089975357,43.506,nan,44.69,44.69
12,0.1,427.16295886039734,47.654,175.19086825847626,24.47,44.69
13,0.1,403.13667500019073,51.068,110.45233911275864,49.82,49.82
14,0.1,393.44332242012024,52.202,nan,50.79,50.79
15,0.1,381.3476645350456,54.338,3.651905154503101e+19,14.45,50.79
16,0.1,354.5494435429573,57.754,135.57770228385925,32.43,50.79
17,0.1,375.3641291856766,55.128,nan,50.66,50.79
18,0.1,341.25653475522995,59.59,12728.139756321907,42.97,50.79
19,0.1,317.75656992197037,62.454,122.04985761642456,43.72,50.79
20,0.1,309.1064653992653,63.554,169.35399866104126,12.62,50.79
21,0.1,446.4383463859558,43.722,183.91689217090607,16.54,50.79
22,0.1,491.43489241600037,38.91,113.5680440068245,46.29,50.79
23,0.1,347.17612904310226,58.94,nan,62.3,62.3
24,0.1,325.95650589466095,61.626,9.813085448746544e+23,57.77,62.3
25,0.1,404.9534952044487,51.624,nan,51.39,62.3
26,0.1,323.68277072906494,62.116,nan,60.29,62.3
27,0.1,301.3396520614624,64.962,92.48807799816132,59.78,62.3
28,0.1,245.76093700528145,71.7,73459971391557.88,68.39,68.39
29,0.1,229.24999338388443,73.746,83.68354588747025,64.37,68.39
30,0.1,212.61899769306183,75.602,nan,75.28,75.28
31,0.020000000000000004,166.32731866836548,81.208,nan,80.76,80.76
32,0.020000000000000004,152.75589162111282,82.608,18968.17321932316,83.07,83.07
33,0.020000000000000004,144.16752822697163,83.512,172.9159537255764,82.41,83.07
34,0.020000000000000004,138.38231468200684,84.458,2.5179400336647075e+20,83.37,83.37
35,0.020000000000000004,135.39208701252937,84.672,70.96250976622105,83.1,83.37
36,0.020000000000000004,133.1058936715126,85.086,nan,82.73,83.37
37,0.020000000000000004,130.23897305130959,85.4,nan,83.45,83.45
38,0.020000000000000004,133.54704603552818,84.928,38.45527555048466,84.14,84.14
39,0.020000000000000004,127.33528964221478,85.726,37.966978788375854,83.65,84.14
40,0.020000000000000004,122.29172962903976,86.25,39.38653501868248,84.13,84.14
41,0.020000000000000004,141.11663715541363,84.134,45.36520913243294,81.75,84.14
42,0.020000000000000004,122.07661871612072,86.374,42.29083713889122,84.7,84.7
43,0.020000000000000004,117.5355840921402,86.852,43.67394757270813,84.15,84.7
44,0.020000000000000004,116.20555727183819,87.144,38.950487688183784,85.02,85.02
45,0.020000000000000004,186.15788063406944,78.942,48.31340551376343,80.92,85.02
46,0.020000000000000004,132.6353398412466,84.958,37.67005267739296,84.44,85.02
47,0.020000000000000004,124.84146359562874,85.966,nan,72.18,85.02
48,0.020000000000000004,131.70565058290958,85.136,40.439239740371704,84.01,85.02
49,0.020000000000000004,111.04728834331036,87.674,51.23861299455166,84.96,85.02
50,0.020000000000000004,106.02853794395924,88.338,35.943646892905235,85.27,85.27
51,0.020000000000000004,101.23277139663696,88.736,159155.75590449572,84.72,85.27
52,0.020000000000000004,103.53343929350376,88.606,37.3839268386364,85.12,85.27
53,0.020000000000000004,98.34373718500137,89.256,35.95793607831001,85.78,85.78
54,0.020000000000000004,93.0562884286046,89.834,35.97469827532768,86.08,86.08
55,0.020000000000000004,89.82055299729109,90.232,44.906925708055496,85.22,86.08
56,0.020000000000000004,88.12952027469873,90.392,12202.280317783356,85.63,86.08
57,0.020000000000000004,228.79018914699554,73.662,46.856023132801056,80.58,86.08
58,0.020000000000000004,119.55170990526676,86.75,41.33987867832184,84.7,86.08
59,0.020000000000000004,108.33032301068306,88.048,39.60810288786888,83.65,86.08
60,0.020000000000000004,98.13253175467253,89.024,1.937470570543187e+17,85.28,86.08
61,0.004000000000000001,69.29777474701405,92.71,26537777182.863483,87.75,87.75
62,0.004000000000000001,61.53669937700033,93.748,36467699.092334524,87.96,87.96
63,0.004000000000000001,56.66488371044397,94.312,13716.398916557431,87.6,87.96
64,0.004000000000000001,54.38573610782623,94.62,14086921.03322351,88.01,88.01
65,0.004000000000000001,51.57634669914842,94.906,170.2722591161728,87.69,88.01
66,0.004000000000000001,49.65764129534364,95.158,1672325.5066344142,87.95,88.01
67,0.004000000000000001,48.20895654708147,95.438,2093039146.8020847,87.83,88.01
68,0.004000000000000001,46.28775404766202,95.618,541502175144.45795,87.84,88.01
69,0.004000000000000001,45.19869078695774,95.676,411.8750784397125,88.0,88.01
70,0.004000000000000001,43.70501544699073,95.844,1101.2290575057268,88.01,88.01
71,0.004000000000000001,42.1131785325706,96.096,65.48914170265198,88.03,88.03
72,0.004000000000000001,41.22138896211982,96.198,5728031.284187049,88.0,88.03
73,0.004000000000000001,39.89289056137204,96.416,49.29740896075964,87.86,88.03
74,0.004000000000000001,39.557298101484776,96.406,84875.98253619671,88.1,88.1
75,0.004000000000000001,38.209754683077335,96.536,18917817265.735237,88.11,88.11
76,0.004000000000000001,37.41540054231882,96.69,137.06475035846233,88.18,88.18
77,0.004000000000000001,36.118736293166876,96.81,371513377.45648944,87.45,88.18
78,0.004000000000000001,34.595871079713106,97.022,347259337.3729912,87.94,88.18
79,0.004000000000000001,35.64975634589791,96.898,684385.4585354477,87.59,88.18
80,0.004000000000000001,32.750296741724014,97.248,106.32623687386513,87.72,88.18
81,0.004000000000000001,33.72625343874097,97.054,38.83942623436451,87.78,88.18
82,0.004000000000000001,31.94152546301484,97.314,21424210.221001446,87.88,88.18
83,0.004000000000000001,31.83902295678854,97.272,67603.09825911373,88.02,88.18
84,0.004000000000000001,30.572830509394407,97.454,3096.2974392920732,87.72,88.18
85,0.004000000000000001,30.40540264174342,97.452,5648869.436673865,87.98,88.18
86,0.004000000000000001,29.802621014416218,97.564,104.03462139517069,87.37,88.18
87,0.004000000000000001,29.036417985334992,97.604,47.78608766943216,87.15,88.18
88,0.004000000000000001,28.762303275987506,97.574,2421.4504188895226,87.28,88.18
89,0.004000000000000001,28.811106208711863,97.638,37.26441493630409,87.86,88.18
90,0.004000000000000001,28.10944279283285,97.684,43.25034788250923,87.22,88.18
91,0.0008000000000000003,22.67673738859594,98.432,103.76836206018925,88.46,88.46
92,0.0008000000000000003,20.855603331699967,98.646,38.40794502943754,88.44,88.46
93,0.0008000000000000003,19.99695443175733,98.714,43.56785075366497,88.3,88.46
94,0.0008000000000000003,19.58359324745834,98.824,75.9481774494052,88.22,88.46
95,0.0008000000000000003,19.116306578740478,98.862,3710.3971688449383,88.45,88.46
96,0.0008000000000000003,18.556240364909172,98.946,1435707.3571328819,88.27,88.46
97,0.0008000000000000003,18.58480241149664,98.87,75796.69389928132,88.53,88.53
98,0.0008000000000000003,18.16284870542586,98.924,10418.315783299506,88.34,88.53
99,0.0008000000000000003,18.08885424770415,98.958,94.00308329612017,88.24,88.53
100,0.0008000000000000003,17.87013847567141,98.994,473510.6029065773,88.33,88.53
101,0.0008000000000000003,17.2103121727705,99.12,12354.110751017928,88.47,88.53
102,0.0008000000000000003,16.949579378589988,99.106,1090098.444904089,88.41,88.53
103,0.0008000000000000003,16.930852573364973,99.16,102.53321416676044,88.5,88.53
104,0.0008000000000000003,16.66243502497673,99.152,856.5693561285734,88.38,88.53
105,0.0008000000000000003,16.756639501079917,99.132,219.57265204936266,88.27,88.53
106,0.0008000000000000003,16.388669308274984,99.112,416723.2407124713,88.48,88.53
107,0.0008000000000000003,16.322409261018038,99.176,165037.01753149182,88.29,88.53
108,0.0008000000000000003,15.899923630058765,99.234,51731.14916282892,88.28,88.53
109,0.0008000000000000003,16.092746188864112,99.176,17994.829118296504,88.14,88.53
110,0.0008000000000000003,15.612055072560906,99.278,2200566.804991357,88.25,88.53
111,0.0008000000000000003,15.742297485470772,99.242,25848382.119607575,88.32,88.53
112,0.0008000000000000003,15.569451263174415,99.23,74845.14219611883,88.29,88.53
113,0.0008000000000000003,15.353839231655002,99.242,406742.4246191755,88.38,88.53
114,0.0008000000000000003,15.292282992973924,99.312,2241847861.7551026,88.2,88.53
115,0.0008000000000000003,15.427690582349896,99.278,135.29367055743933,88.3,88.53
116,0.0008000000000000003,15.06613871641457,99.332,29784.52047703415,88.17,88.53
117,0.0008000000000000003,14.97379083558917,99.308,264.12533635646105,88.31,88.53
118,0.0008000000000000003,14.991496689617634,99.344,289.0412070453167,88.17,88.53
119,0.0008000000000000003,14.664593611843884,99.29,12062.302410595119,88.19,88.53
120,0.0008000000000000003,14.693744782358408,99.39,43934.738533847034,88.4,88.53
121,0.00016000000000000004,14.298625444062054,99.41,79475.84718431532,88.33,88.53
122,0.00016000000000000004,13.699201423674822,99.432,8656.196058928967,88.43,88.53
123,0.00016000000000000004,13.57788098976016,99.41,9200.389988280833,88.39,88.53
124,0.00016000000000000004,13.762804791331291,99.412,8293.121813260019,88.21,88.53
125,0.00016000000000000004,13.802049845457077,99.408,41357.21933589131,88.24,88.53
126,0.00016000000000000004,13.882915131747723,99.468,616.9746130332351,88.26,88.53
127,0.00016000000000000004,13.386040042154491,99.476,1417.1428118348122,88.18,88.53
128,0.00016000000000000004,13.473371792584658,99.482,61469.607772521675,88.36,88.53
129,0.00016000000000000004,13.784841630607843,99.406,134093.49905533344,88.18,88.53
130,0.00016000000000000004,13.601568197831511,99.43,711.3801671564579,88.25,88.53
131,0.00016000000000000004,13.227981999516487,99.478,1372.0380920767784,88.29,88.53
132,0.00016000000000000004,13.497952757403255,99.478,1264.398068509996,88.43,88.53
133,0.00016000000000000004,13.51591701246798,99.438,47612.499147333205,88.35,88.53
134,0.00016000000000000004,13.128742523491383,99.494,18607.946234971285,88.12,88.53
135,0.00016000000000000004,13.508534350432456,99.474,1087.4116058796644,88.31,88.53
136,0.00016000000000000004,13.388876747339964,99.48,3023.3239539414644,88.24,88.53
137,0.00016000000000000004,13.429765656590462,99.452,10455.672744683921,88.34,88.53
138,0.00016000000000000004,13.22072096914053,99.468,28144.193584434688,88.14,88.53
139,0.00016000000000000004,13.20762933511287,99.486,15128.10479721427,88.26,88.53
140,0.00016000000000000004,13.456879140809178,99.43,69508.05202952772,88.25,88.53
141,0.00016000000000000004,13.234627618454397,99.428,36115.69777760655,88.12,88.53
142,0.00016000000000000004,12.951459787786007,99.492,258151.45036890358,88.16,88.53
143,0.00016000000000000004,12.912614883854985,99.524,24467.75165720284,88.19,88.53
144,0.00016000000000000004,13.580057883635163,99.416,102351.87906622142,88.36,88.53
145,0.00016000000000000004,12.975030146539211,99.524,430034.8180299029,88.26,88.53
146,0.00016000000000000004,12.978856393136084,99.51,33249.09739881009,88.37,88.53
147,0.00016000000000000004,13.051332941278815,99.476,336036.02623960376,88.22,88.53
148,0.00016000000000000004,12.942808181978762,99.51,367528.0388330668,88.29,88.53
149,0.00016000000000000004,13.0381119530648,99.494,475906.7985514775,88.25,88.53
150,0.00016000000000000004,12.909903973340988,99.52,3491.7115478664637,88.32,88.53
151,0.00016000000000000004,12.740834610536695,99.542,1740.644063435495,88.33,88.53
152,0.00016000000000000004,12.855381906032562,99.55,14689.071826890111,88.27,88.53
153,0.00016000000000000004,13.093932079151273,99.486,32258.73673002422,88.22,88.53
154,0.00016000000000000004,12.84496590681374,99.52,97222.50794009119,88.2,88.53
155,0.00016000000000000004,12.921412821859121,99.522,143907.68196211755,88.2,88.53
156,0.00016000000000000004,12.822978032752872,99.54,951145.3159238771,88.27,88.53
157,0.00016000000000000004,12.876769077032804,99.484,33839.338748417795,88.23,88.53
158,0.00016000000000000004,12.464884803630412,99.568,2682335.9983350486,88.08,88.53
159,0.00016000000000000004,12.825614117085934,99.518,105779.49134683609,88.23,88.53
160,0.00016000000000000004,12.576268147677183,99.536,134.7047507762909,88.26,88.53
161,0.00016000000000000004,12.765943155623972,99.494,11087.861357912421,88.12,88.53
162,0.00016000000000000004,12.772468082606792,99.514,3444.942587248981,88.38,88.53
163,0.00016000000000000004,12.485802384093404,99.584,9415.046925127506,88.28,88.53
164,0.00016000000000000004,12.532480219379067,99.554,7906.4699277207255,88.22,88.53
165,0.00016000000000000004,12.620472868904471,99.558,8598.861430600286,88.24,88.53
166,0.00016000000000000004,12.617195267230272,99.522,24878.37505093217,88.39,88.53
167,0.00016000000000000004,12.58175046928227,99.532,3077.280612193048,88.21,88.53
168,0.00016000000000000004,12.503217856399715,99.526,36548.723507374525,88.16,88.53
169,0.00016000000000000004,12.555009407922626,99.516,62589.62136152387,88.29,88.53
170,0.00016000000000000004,12.44740956556052,99.58,170368.2717320472,88.34,88.53
171,0.00016000000000000004,12.668306509032845,99.516,3125.3825185745955,88.33,88.53
172,0.00016000000000000004,12.54360724054277,99.522,1731.6363423466682,88.19,88.53
173,0.00016000000000000004,12.564195190556347,99.518,56768.04911927879,88.17,88.53
174,0.00016000000000000004,12.470918944105506,99.576,8686.97299515456,88.15,88.53
175,0.00016000000000000004,12.274448983371258,99.564,28658.892887465656,88.22,88.53
176,0.00016000000000000004,12.360562892630696,99.554,3939.196788072586,88.24,88.53
177,0.00016000000000000004,12.730064675211906,99.5,149.37261590361595,88.01,88.53
178,0.00016000000000000004,12.327929988503456,99.576,235342.72170046717,88.31,88.53
179,0.00016000000000000004,12.261500710621476,99.59,11209.992343083024,88.33,88.53
180,0.00016000000000000004,12.1872434373945,99.56,252418.71462985873,88.22,88.53
181,0.00016000000000000004,11.987618146464229,99.59,11381.258869767189,88.24,88.53
182,0.00016000000000000004,12.1264653140679,99.596,3085.5187632143497,88.33,88.53
183,0.00016000000000000004,12.22865879908204,99.59,27329.50252316147,88.21,88.53
184,0.00016000000000000004,12.320172471925616,99.522,184905.06894041598,88.38,88.53
185,0.00016000000000000004,12.175936189480126,99.596,572117.2966888398,88.51,88.53
186,0.00016000000000000004,12.18985839933157,99.59,3219.5229809060693,88.26,88.53
187,0.00016000000000000004,12.303135961294174,99.602,7187.636542223394,88.44,88.53
188,0.00016000000000000004,11.994130849838257,99.586,6111.078400418162,88.44,88.53
189,0.00016000000000000004,11.934254635125399,99.622,29512.859013848007,88.35,88.53
190,0.00016000000000000004,11.976816864684224,99.584,41496.066940151155,88.38,88.53
191,0.00016000000000000004,12.012539808638394,99.608,673932.7775698304,88.29,88.53
192,0.00016000000000000004,12.145986045710742,99.58,9368.123058103025,88.25,88.53
193,0.00016000000000000004,12.258797941729426,99.562,514725.41117450595,88.33,88.53
194,0.00016000000000000004,12.301472125574946,99.544,310197.5551171154,88.26,88.53
195,0.00016000000000000004,12.001969912089407,99.594,508147.2217769623,88.37,88.53
196,0.00016000000000000004,12.414198586717248,99.536,27517888.606117286,88.31,88.53
197,0.00016000000000000004,12.058746260590851,99.536,31804412.989637643,88.3,88.53
198,0.00016000000000000004,12.134764295071363,99.564,58521.74413334578,88.26,88.53
199,0.00016000000000000004,11.941580822691321,99.566,1944828.4790139496,88.39,88.53
